storey,floor area (sqm),flat model,remaining lease (yr),resale price ($),resale registration date,area,lat,lng,nearest_mall,nearest_mall_dist,nearest_MRT,nearest_MRT_dist,dist_to_Orchard
38,60,Dbss,93.17,558000,Nov-20,Clementi,1.3190461,103.7656216,The Clementi Mall Singapore,0.48166121218807006,Clementi MRT,0.4073893808084421,7.540942056867238
17,60,Dbss,93.17,518000,Nov-20,Clementi,1.3194852,103.7656216,The Clementi Mall Singapore,0.5283992573305987,Clementi MRT,0.45573355508540264,7.5519222032137145
29,60,Dbss,93.17,540000,Nov-20,Clementi,1.3194852,103.7656216,The Clementi Mall Singapore,0.5283992573305987,Clementi MRT,0.45573355508540264,7.5519222032137145
38,60,Dbss,93.17,540000,Nov-20,Clementi,1.3194852,103.7656216,The Clementi Mall Singapore,0.5283992573305987,Clementi MRT,0.45573355508540264,7.5519222032137145
36,60,Dbss,93.08,550000,Nov-20,Clementi,1.3194852,103.7656216,The Clementi Mall Singapore,0.5283992573305987,Clementi MRT,0.45573355508540264,7.5519222032137145
17,68,Model A,95.08,415000,May-21,Hougang,1.375965,103.9010505,Hougang Mall Singapore,0.8969190616715862,Hougang MRT,1.0207335705752663,11.106256076503275
17,67,Dbss,92.5,495000,May-21,Hougang,1.3762148,103.9000675,Hougang Mall Singapore,0.81240347308564,Hougang MRT,0.9408277436264101,11.050923566452697
20,67,Model A,93.17,405000,Apr-21,Hougang,1.379264,103.9006694,Rivervale Plaza Singapore,0.6937037309954626,Buangkok MRT,0.9121529292682462,11.344747641039145
17,68,Model A,95.25,400000,Mar-21,Hougang,1.3767753,103.9003069,Hougang Mall Singapore,0.867399757282138,Hougang MRT,0.9977948528133411,11.11451762884048
17,68,Model A,95.25,405000,Mar-21,Hougang,1.375965,103.9010505,Hougang Mall Singapore,0.8969190616715862,Hougang MRT,1.0207335705752663,11.106256076503275
17,68,Premium Apartment,94.08,419999,Mar-21,Hougang,1.3767521,103.9040981,Rivervale Plaza Singapore,0.9917191053150388,Hougang MRT,1.3630457683825785,11.405725883838757
17,67,Dbss,92.83,495000,Jan-21,Hougang,1.3751631,103.9003975,Hougang Mall Singapore,0.7952881858355474,Hougang MRT,0.9155846195428677,10.991678173630012
17,68,Model A,95.08,415000,May-21,Hougang,1.375965,103.9010505,Hougang Mall Singapore,0.8969190616715862,Hougang MRT,1.0207335705752663,11.106256076503275
17,67,Dbss,92.5,495000,May-21,Hougang,1.3762148,103.9000675,Hougang Mall Singapore,0.81240347308564,Hougang MRT,0.9408277436264101,11.050923566452697
20,67,Model A,93.17,405000,Apr-21,Hougang,1.379264,103.9006694,Rivervale Plaza Singapore,0.6937037309954626,Buangkok MRT,0.9121529292682462,11.344747641039145
17,68,Model A,95.25,400000,Mar-21,Hougang,1.3767753,103.9003069,Hougang Mall Singapore,0.867399757282138,Hougang MRT,0.9977948528133411,11.11451762884048
17,68,Model A,95.25,405000,Mar-21,Hougang,1.375965,103.9010505,Hougang Mall Singapore,0.8969190616715862,Hougang MRT,1.0207335705752663,11.106256076503275
17,68,Premium Apartment,94.08,419999,Mar-21,Hougang,1.3767521,103.9040981,Rivervale Plaza Singapore,0.9917191053150388,Hougang MRT,1.3630457683825785,11.405725883838757
17,67,Dbss,92.83,495000,Jan-21,Hougang,1.3751631,103.9003975,Hougang Mall Singapore,0.7952881858355474,Hougang MRT,0.9155846195428677,10.991678173630012
17,65,Improved,53.5,405000,Oct-21,Marine Parade,1.3039673,103.9097317,i12 Katong Singapore,0.5291881099185539,Marine Parade MRT,0.5303182507838734,8.667068243715207
17,76,Improved,53.58,588000,Sep-21,Marine Parade,1.3034544,103.909913,i12 Katong Singapore,0.566572510629032,Marine Parade MRT,0.5386869824530367,8.687436520350046
17,65,Improved,53.75,488888,Aug-21,Marine Parade,1.3034544,103.909913,i12 Katong Singapore,0.566572510629032,Marine Parade MRT,0.5386869824530367,8.687436520350046
17,76,Improved,53.92,478000,Apr-21,Marine Parade,1.3034544,103.909913,i12 Katong Singapore,0.566572510629032,Marine Parade MRT,0.5386869824530367,8.687436520350046
17,65,Improved,53.25,425000,Feb-21,Marine Parade,1.3037019,103.9114083,i12 Katong Singapore,0.7167989267376388,Marine Terrace MRT,0.47798909310354587,8.853512094064937
17,76,Improved,54.33,462000,Dec-20,Marine Parade,1.3039673,103.9097317,i12 Katong Singapore,0.5291881099185539,Marine Parade MRT,0.5303182507838734,8.667068243715207
17,65,Improved,54.33,408000,Dec-20,Marine Parade,1.3043334,103.9096411,i12 Katong Singapore,0.5094662343403606,Marine Parade MRT,0.5325855609168868,8.657073218970288
17,65,Improved,53.5,405000,Oct-21,Marine Parade,1.3039673,103.9097317,i12 Katong Singapore,0.5291881099185539,Marine Parade MRT,0.5303182507838734,8.667068243715207
17,76,Improved,53.58,588000,Sep-21,Marine Parade,1.3034544,103.909913,i12 Katong Singapore,0.566572510629032,Marine Parade MRT,0.5386869824530367,8.687436520350046
17,65,Improved,53.75,488888,Aug-21,Marine Parade,1.3034544,103.909913,i12 Katong Singapore,0.566572510629032,Marine Parade MRT,0.5386869824530367,8.687436520350046
17,76,Improved,53.92,478000,Apr-21,Marine Parade,1.3034544,103.909913,i12 Katong Singapore,0.566572510629032,Marine Parade MRT,0.5386869824530367,8.687436520350046
17,65,Improved,53.25,425000,Feb-21,Marine Parade,1.3037019,103.9114083,i12 Katong Singapore,0.7167989267376388,Marine Terrace MRT,0.47798909310354587,8.853512094064937
17,76,Improved,54.33,462000,Dec-20,Marine Parade,1.3039673,103.9097317,i12 Katong Singapore,0.5291881099185539,Marine Parade MRT,0.5303182507838734,8.667068243715207
17,65,Improved,54.33,408000,Dec-20,Marine Parade,1.3043334,103.9096411,i12 Katong Singapore,0.5094662343403606,Marine Parade MRT,0.5325855609168868,8.657073218970288
26,63,Model A,92.42,620000,Oct-21,Queenstown,1.296245,103.799522,Anchorpoint Singapore,1.035368061868257,Commonwealth MRT,0.6969493807801701,3.6868551768161737
44,65,Premium Apartment,93.92,706000,Oct-21,Queenstown,1.2960052,103.8099048,Anchorpoint Singapore,0.9670951696630211,Queenstown MRT,0.47034096728541436,2.5878933803134476
38,65,Premium Apartment,93.58,690000,Oct-21,Queenstown,1.2949706,103.811632,Anchorpoint Singapore,1.003201760021405,Queenstown MRT,0.6235383766306594,2.453290376361683
41,69,Model A,89.5,568000,Oct-21,Queenstown,1.3058533,103.7821896,Rochester Mall Singapore,0.6689401447644531,Dover MRT,0.7327707128000157,5.515132969070392
29,67,Model A,90.58,648000,Oct-21,Queenstown,1.3083214,103.7857208,The Star Vista Singapore,0.3421041605129982,Buona Vista MRT,0.5561944739597952,5.141217722670217
20,73,Improved,52.33,480000,Oct-21,Queenstown,1.3095086,103.7945718,Holland Village Shopping Mall Singapore,0.112056678623905,Holland Village MRT,0.2521103152269433,4.179889786092649
20,73,Improved,51.67,421000,Oct-21,Queenstown,1.3071143,103.7954772,Holland Village Shopping Mall Singapore,0.3442199647822359,Holland Village MRT,0.45430062823080386,4.048971808956679
38,67,Model A,90.0,688000,Oct-21,Queenstown,1.3110337,103.7916988,Holland Village Shopping Mall Singapore,0.410855335199572,Buona Vista MRT,0.44221110185656876,4.5222814662769775
26,63,Model A,92.42,600000,Sep-21,Queenstown,1.301254,103.7971808,Holland Village Shopping Mall Singapore,1.017006956734499,Commonwealth MRT,0.17897935136159854,3.8569112305948647
36,65,Premium Apartment,94.0,680000,Sep-21,Queenstown,1.2960052,103.8099048,Anchorpoint Singapore,0.9670951696630211,Queenstown MRT,0.47034096728541436,2.5878933803134476
17,65,Improved,51.75,445000,Sep-21,Queenstown,1.3074653,103.794866,Holland Village Shopping Mall Singapore,0.3084351627935495,Holland Village MRT,0.4330840511838772,4.120135745498953
17,73,Improved,51.75,445000,Sep-21,Queenstown,1.3079724,103.7957715,Holland Village Shopping Mall Singapore,0.2537043647879864,Holland Village MRT,0.35523505963230234,4.025718123241348
23,65,Improved,51.67,410000,Sep-21,Queenstown,1.3071143,103.7954772,Holland Village Shopping Mall Singapore,0.3442199647822359,Holland Village MRT,0.45430062823080386,4.048971808956679
20,65,Improved,52.5,425000,Sep-21,Queenstown,1.309007,103.7940607,Holland Village Shopping Mall Singapore,0.19167068995281417,Holland Village MRT,0.33170011291648127,4.228401569815972
17,67,Improved,47.42,320000,Sep-21,Queenstown,1.2935996,103.8035009,Anchorpoint Singapore,0.5647952648213845,Queenstown MRT,0.29403807748151956,3.3483659501926706
17,72,Improved,47.83,390000,Sep-21,Queenstown,1.2921971,103.8042835,Anchorpoint Singapore,0.39106730586069827,Queenstown MRT,0.29936540316749916,3.325283244750931
20,72,Improved,47.92,422000,Sep-21,Queenstown,1.2914703,103.8034685,Anchorpoint Singapore,0.3493674723658178,Queenstown MRT,0.4202072721563968,3.4406447290959723
17,65,Improved,50.75,368000,Sep-21,Queenstown,1.2944348,103.7997331,Anchorpoint Singapore,0.8657321218470098,Queenstown MRT,0.705484295718519,3.7165842288005577
36,65,Premium Apartment,93.75,628888,Aug-21,Queenstown,1.2953335,103.8125242,Anchorpoint Singapore,1.1036686359026844,Queenstown MRT,0.7277737111896145,2.3462830728122466
23,65,Premium Apartment,93.75,640000,Aug-21,Queenstown,1.2950626,103.8111407,Anchorpoint Singapore,0.9715963559941515,Queenstown MRT,0.5710944061922792,2.4991332648986013
17,65,Improved,51.75,448000,Aug-21,Queenstown,1.3079724,103.7957715,Holland Village Shopping Mall Singapore,0.2537043647879864,Holland Village MRT,0.35523505963230234,4.025718123241348
17,65,Improved,52.5,415000,Aug-21,Queenstown,1.3093758,103.7934172,Holland Village Shopping Mall Singapore,0.22875832859532994,Holland Village MRT,0.3611125103094514,4.304824572913924
38,67,Model A,90.17,738000,Aug-21,Queenstown,1.3110337,103.7916988,Holland Village Shopping Mall Singapore,0.410855335199572,Buona Vista MRT,0.44221110185656876,4.5222814662769775
36,60,Model A,86.0,570000,Aug-21,Queenstown,1.3006381,103.7990313,Holland Village Shopping Mall Singapore,1.1417683643181264,Commonwealth MRT,0.2110061638863701,3.6582501049146776
17,63,Model A,92.67,610000,Jul-21,Queenstown,1.296245,103.799522,Anchorpoint Singapore,1.035368061868257,Commonwealth MRT,0.6969493807801701,3.6868551768161737
36,65,Premium Apartment,94.17,648500,Jul-21,Queenstown,1.2960052,103.8099048,Anchorpoint Singapore,0.9670951696630211,Queenstown MRT,0.47034096728541436,2.5878933803134476
29,65,Premium Apartment,94.08,700000,Jul-21,Queenstown,1.2960052,103.8099048,Anchorpoint Singapore,0.9670951696630211,Queenstown MRT,0.47034096728541436,2.5878933803134476
23,70,Model A,89.67,500000,Jul-21,Queenstown,1.3058533,103.7821896,Rochester Mall Singapore,0.6689401447644531,Dover MRT,0.7327707128000157,5.515132969070392
17,65,Improved,51.92,330000,Jul-21,Queenstown,1.3079724,103.7957715,Holland Village Shopping Mall Singapore,0.2537043647879864,Holland Village MRT,0.35523505963230234,4.025718123241348
17,65,Improved,51.92,400000,Jul-21,Queenstown,1.3071143,103.7954772,Holland Village Shopping Mall Singapore,0.3442199647822359,Holland Village MRT,0.45430062823080386,4.048971808956679
